FID,ID_ACCES,CODI_ACCES,NOM_ACCES,CODI_GRUP_ESTACIO,ID_ESTACIO,NOM_ESTACIO,ID_TIPUS_ACCESSIBILITAT,NOM_TIPUS_ACCESSIBILITAT,NUM_ASCENSORS,DATA,GEOMETRY
ACCESSOS.159,159,52201,Bailèn,6660427,427,Verdaguer,3,No accessible,0,2022-03-31,POINT (2.1674435087087836 41.39907870304267)
ACCESSOS.160,160,52211,Avinguda Diagonal,6660427,427,Verdaguer,3,No accessible,0,2022-03-31,POINT (2.1661909840678293 41.39846104828594)
ACCESSOS.336,336,52212,Girona,6660427,427,Verdaguer,3,No accessible,0,2022-03-31,POINT (2.166126840672571 41.39868396089712)
ACCESSOS.117,117,42801,Escorial,6660428,428,Joanic,1,Accessible,1,2022-03-31,POINT (2.1628982674135058 41.406025461731545)
ACCESSOS.118,118,42802,Pi i Margall,6660428,428,Joanic,3,No accessible,0,2022-03-31,POINT (2.1631784191637613 41.40573590753078)
ACCESSOS.119,119,42901,Ronda Guinardó,6660429,429,Alfons X,1,Accessible,1,2022-03-31,POINT (2.1665122167913315 41.412396309165906)
ACCESSOS.120,120,42902,Lepant,6660429,429,Alfons X,3,No accessible,0,2022-03-31,POINT (2.166926884371684 41.41194800811718)
ACCESSOS.121,121,42903,Plaça Alfons el Savi,6660429,429,Alfons X,3,No accessible,0,2022-03-31,POINT (2.1650869902343994 41.41206802846406)
ACCESSOS.122,122,43001,Sant Quintí,6660430,430,Guinardó | Hospital de Sant Pau,1,Accessible,1,2022-03-31,POINT (2.17448556195168 41.41602013578463)
ACCESSOS.645,645,43012,Hospital de Sant Pau,6660430,430,Guinardó | Hospital de Sant Pau,1,Accessible,0,2022-03-31,POINT (2.174417599864814 41.415769240572445)
ACCESSOS.124,124,43101,Ronda Guinardó,6660431,431,Maragall,3,No accessible,0,2022-03-31,POINT (2.1773792227562048 41.42248342425998)
ACCESSOS.172,172,52801,Ramon Albó,6660431,431,Maragall,3,No accessible,0,2022-03-31,POINT (2.177164452404854 41.4244727384488)
ACCESSOS.173,173,52811,Avinguda dels Quinze,6660431,431,Maragall,3,No accessible,0,2022-03-31,POINT (2.1760634615457635 41.42570009489562)
ACCESSOS.337,337,52812,Prat d'en Roquer,6660431,431,Maragall,3,No accessible,0,2022-03-31,POINT (2.1764610879640025 41.42550835136221)
ACCESSOS.125,125,43201,Passeig Verdum / Llucmajor,6660432,432,Llucmajor,1,Accessible,1,2022-03-31,POINT (2.173895569321168 41.437616701245766)
ACCESSOS.126,126,43202,Plaça Jardins d'Alfàbia,6660432,432,Llucmajor,3,No accessible,0,2022-03-31,POINT (2.173829044280302 41.43711488742183)
ACCESSOS.127,127,43211,Pi i Molist,6660432,432,Llucmajor,3,No accessible,0,2022-03-31,POINT (2.1728798103544618 41.436740514085386)
ACCESSOS.128,128,43301,Via Júlia / Joaquim Valls,6660433,433,Via Júlia,1,Accessible,1,2022-03-31,POINT (2.1788971202088763 41.44425262949602)
ACCESSOS.129,129,43311,Via Júlia / Argullós,6660433,433,Via Júlia,3,No accessible,0,2022-03-31,POINT (2.178598661229453 41.443561863852345)
ACCESSOS.132,132,50901,Plaça Estació,6660509,509,Cornellà Centre,1,Accessible,1,2022-03-31,POINT (2.0699015151307307 41.35735037821628)
ACCESSOS.133,133,51001,Lindavista,6660510,510,Gavarra,1,Accessible,1,2022-03-31,POINT (2.0789561859060086 41.3577673220844)
ACCESSOS.134,134,51002,Pl. Catalunya,6660510,510,Gavarra,3,No accessible,0,2022-03-31,POINT (2.078852135643713 41.35792041068304)
ACCESSOS.135,135,51101,Avinguda República Argentina,6660511,511,Sant Ildefons,3,No accessible,0,2022-03-31,POINT (2.083927887746599 41.363390272636906)
ACCESSOS.136,136,51102,Mercat Sant Ildefons,6660511,511,Sant Ildefons,1,Accessible,1,2022-03-31,POINT (2.0840965480385196 41.36309026718108)
ACCESSOS.137,137,51201,Estronci,6660512,512,Can Boixeres,1,Accessible,1,2022-03-31,POINT (2.090696493388553 41.36610630964141)
ACCESSOS.138,138,51301,Hortènsia,6660513,513,Can Vidalet,3,No accessible,0,2022-03-31,POINT (2.0993829365383507 41.37146257653596)
ACCESSOS.107,107,51311,Maladeta,6660513,513,Can Vidalet,1,Accessible,1,2022-03-31,POINT (2.0999026596672605 41.37196795384223)
ACCESSOS.139,139,51401,Avinguda Josep Molins,6660514,514,Pubilla Cases,1,Accessible,1,2022-03-31,POINT (2.106320496479372 41.37350953109733)
ACCESSOS.140,140,51402,Esteve Grau,6660514,514,Pubilla Cases,3,No accessible,0,2022-03-31,POINT (2.1068724759790567 41.373490348877894)
ACCESSOS.141,141,51411,Doctor Ramon Solanich,6660514,514,Pubilla Cases,3,No accessible,0,2022-03-31,POINT (2.107924691533878 41.37403183137629)
ACCESSOS.142,142,51501,Travessera de les Corts,6660515,515,Collblanc,3,No accessible,0,2022-03-31,POINT (2.120434295946638 41.375839939818576)
ACCESSOS.143,143,51502,Doctor Martí i Julià,6660515,515,Collblanc,3,No accessible,0,2022-03-31,POINT (2.120625060820197 41.375653040366075)
ACCESSOS.2578,2578,91601,Av. Sant Ramon,6660515,515,Collblanc,1,Accessible,1,2022-03-31,POINT (2.1184479522727964 41.37586944626433)
ACCESSOS.145,145,51601,Carrer de Sants,6660516,516,Badal,3,No accessible,0,2022-03-31,POINT (2.128635729254475 41.37561803970335)
ACCESSOS.146,146,51602,Carreras i Candi,6660516,516,Badal,3,No accessible,0,2022-03-31,POINT (2.1262208050255165 41.375437569753196)
ACCESSOS.147,147,51611,Carrer de Sants / Arizala,6660516,516,Badal,1,Accessible,1,2022-03-31,POINT (2.1260317244158746 41.37567233929521)
ACCESSOS.152,152,51901,Rocafort,6660519,519,Entença,1,Accessible,1,2022-03-31,POINT (2.146110635069211 41.38496374773946)
ACCESSOS.153,153,51911,Entença,6660519,519,Entença,3,No accessible,0,2022-03-31,POINT (2.1450478629137275 41.384122054177965)
ACCESSOS.154,154,52001,Villarroel,6660520,520,Hospital Clínic,3,No accessible,0,2022-03-31,POINT (2.1516064012482254 41.38886729632631)
ACCESSOS.155,155,52011,Comte d'Urgell,6660520,520,Hospital Clínic,3,No accessible,0,2022-03-31,POINT (2.1501830305727547 41.38834045407549)
ACCESSOS.156,156,52012,Rosselló,6660520,520,Hospital Clínic,1,Accessible,1,2022-03-31,POINT (2.150619480791316 41.388395350299575)
ACCESSOS.164,164,52401,Dos de Maig,6660524,524,Sant Pau | Dos de Maig,1,Accessible,1,2022-03-31,POINT (2.1763653799906564 41.41114080447703)
ACCESSOS.165,165,52411,Cartagena,6660524,524,Sant Pau | Dos de Maig,3,No accessible,0,2022-03-31,POINT (2.1757062735093786 41.41004068735595)
ACCESSOS.166,166,52501,Passeig Maragall,6660525,525,Camp de l'Arpa,1,Accessible,1,2022-03-31,POINT (2.1809551946540227 41.41475538864973)
ACCESSOS.167,167,52511,Indústria,6660525,525,Camp de l'Arpa,3,No accessible,0,2022-03-31,POINT (2.181700352854108 41.41528189569665)
ACCESSOS.170,170,52701,Matanzas,6660527,527,Congrés,1,Accessible,1,2022-03-31,POINT (2.182114350361228 41.42342321848205)
ACCESSOS.171,171,52711,Francesc Tàrrega,6660527,527,Congrés,3,No accessible,0,2022-03-31,POINT (2.180782705543495 41.42355745678486)
ACCESSOS.174,174,52901,Pi i Molist,6660529,529,Virrei Amat,3,No accessible,0,2022-03-31,POINT (2.1745288376553185 41.430463669766056)
ACCESSOS.175,175,52902,Fabra i Puig,6660529,529,Virrei Amat,3,No accessible,0,2022-03-31,POINT (2.1740782260251827 41.43023491849355)
ACCESSOS.1601,1601,52903,Virrei Amat (muntanya),6660529,529,Virrei Amat,1,Accessible,1,2022-03-31,POINT (2.174763343233299 41.43023702077505)
ACCESSOS.176,176,52911,Felip II / Virrei Amat,6660529,529,Virrei Amat,3,No accessible,0,2022-03-31,POINT (2.1755502323990963 41.429204008007446)
ACCESSOS.177,177,52912,Virrei Amat (mar),6660529,529,Virrei Amat,3,No accessible,0,2022-03-31,POINT (2.1747954644946055 41.429371724300154)
ACCESSOS.178,178,53001,Canfranc,6660530,530,Vilapicina,3,No accessible,0,2022-03-31,POINT (2.1673159493380174 41.430570802251374)
ACCESSOS.179,179,53002,Cartellà,6660530,530,Vilapicina,3,No accessible,0,2022-03-31,POINT (2.1667156226419357 41.430350694392594)
ACCESSOS.180,180,53011,Passeig de les Palmeres,6660530,530,Vilapicina,1,Accessible,1,2022-03-31,POINT (2.168476563431491 41.430326179812745)
ACCESSOS.338,338,53012,Teide,6660530,530,Vilapicina,1,Accessible,1,2022-03-31,POINT (2.168485040225751 41.43055214802522)
ACCESSOS.181,181,53101,Plaça Eivissa,6660531,531,Horta,3,No accessible,0,2022-03-31,POINT (2.160950029594109 41.43011108103821)
ACCESSOS.182,182,53102,Tajo,6660531,531,Horta,3,No accessible,0,2022-03-31,POINT (2.160968137390296 41.42967947669823)
ACCESSOS.183,183,53111,Lisboa,6660531,531,Horta,1,Accessible,1,2022-03-31,POINT (2.1588149190327615 41.42969342672421)
ACCESSOS.104,104,53201,Plaça Pastrana,6660532,532,El Carmel,1,Accessible,1,2022-03-31,POINT (2.1560349930542952 41.425538975362834)
ACCESSOS.105,105,53211,Llobregós,6660532,532,El Carmel,3,No accessible,0,2022-03-31,POINT (2.154370583017562 41.42328573366592)
ACCESSOS.106,106,53212,Mercat,6660532,532,El Carmel,1,Accessible,1,2022-03-31,POINT (2.1550153213204495 41.42364530715849)
ACCESSOS.108,108,53301,Passeig Mare de Déu del Coll,6660533,533,El Coll | La Teixonera,1,Accessible,1,2022-03-31,POINT (2.15030270678913 41.4209989290359)
ACCESSOS.109,109,53302,Beat Almató,6660533,533,El Coll | La Teixonera,1,Accessible,0,2022-03-31,POINT (2.149432679446425 41.419761733971406)
ACCESSOS.110,110,53311,Arenys,6660533,533,El Coll | La Teixonera,1,Accessible,1,2022-03-31,POINT (2.1479961471943976 41.42328766815374)
ACCESSOS.3842,3842,55501,Avinguda de Xile,6660555,555,Ernest Lluch,1,Accessible,1,2022-03-31,POINT (2.110604178786103 41.376174072254145)
ACCESSOS.3843,3843,55502,Cementiri de Sants,6660555,555,Ernest Lluch,3,No accessible,0,2022-03-31,POINT (2.1113414738060774 41.37574887154281)
ACCESSOS.2600,2600,90101,Aeroport T1,6660901,901,Aeroport T1,1,Accessible,0,2022-03-31,POINT (2.0712103137449738 41.28819232176685)
ACCESSOS.2599,2599,90301,Aeroport T2,6660903,903,Aeroport T2,1,Accessible,1,2022-03-31,POINT (2.073020154893667 41.30392085751796)
ACCESSOS.2598,2598,90401,Avinguda de Les Garrigues / Alta Ribagorça,6660904,904,Mas Blau,1,Accessible,1,2022-03-31,POINT (2.0733211961667237 41.311866166574404)
ACCESSOS.2596,2596,90501,Riu Llobregat / Riu Xúquer,6660905,905,Parc Nou,1,Accessible,1,2022-03-31,POINT (2.087374114933685 41.316887406723374)
ACCESSOS.2597,2597,90511,Riu Llobregat / Riu Ebre,6660905,905,Parc Nou,3,No accessible,0,2022-03-31,POINT (2.088911301489891 41.316411309842785)
ACCESSOS.2594,2594,90601,Plaça Catalunya,6660906,906,Cèntric,1,Accessible,1,2022-03-31,POINT (2.093119967119463 41.32254235495225)
ACCESSOS.2595,2595,90602,C. Lleida,6660906,906,Cèntric,3,No accessible,0,2022-03-31,POINT (2.0938312215600168 41.32184761209478)
ACCESSOS.2593,2593,90701,Doctor Soler i Torrens,6660907,907,El Prat Estació,1,Accessible,1,2022-03-31,POINT (2.089932544277716 41.33126725950448)
ACCESSOS.2588,2588,90901,Av. Verge de Montserrat / Ctra. de la Marina,6660909,909,Les Moreres,1,Accessible,1,2022-03-31,POINT (2.102664267821187 41.32883210533803)
